LowerBound_X,LowerBound_Y,UpperBound_X,UpperBound_Y,Position_X,Position_Y
26402.772109999998,-606.40698,26461.67211,-596.40698,26401.772109999998,-601.40698
28195.952839999998,203.40498,28252.952839999998,232.40498,28223.952839999998,217.90498
28778.92367,-106.03617,28804.112139999997,-79.18978,28804.112139999997,-92.61296999999999
28178.239510000003,-455.85328,28187.239510000003,-444.85328,28182.239510000003,-450.35328
27513.563110000003,-695.41647,27527.75311,-673.66647,27527.75311,-673.66647
27537.63415,350.19563,27562.953510000003,376.8427,27549.793830000002,363.75153
26147.11968,574.1846400000001,26172.76675,600.50401,26159.675580000003,587.34433
27273.73488,-163.6473,27316.82617,-119.56946,27316.7359,-143.52996000000002
28314.4875,203.47578000000001,28371.4875,232.47578,28342.4875,217.97578
26797.864690000002,-1141.75954,26856.86469,-1111.75954,26796.864690000002,-1111.75954
26681.07079,-1112.10486,26706.63236,-1088.84538,26693.37271,-1103.0249099999999
28335.60907,232.31545,28361.25613,258.63482,28347.70024,245.47513999999998
27439.373839999997,750.23113,27456.686339999997,762.23113,27439.186339999997,762.23113
26544.615,-509.30077,26572.615,-451.30077,26558.115,-480.30077
26268.54723,-309.02201,26278.54723,-299.02201,26273.04723,-304.02201
27883.68045,982.3721300000001,27908.395780000003,1002.9985199999999,27895.666760000004,992.66403
28426.53634,-605.3032599999999,28435.53634,-594.3032599999999,28430.53634,-599.8032599999999
26763.303219999998,-598.90698,26820.303219999998,-569.90698,26791.303219999998,-584.40698
26463.12128,-270.6489,26520.12128,-241.6489,26491.12128,-256.1489
26237.94178,628.65679,26272.841780000002,638.65679,26272.841780000002,633.65679
28825.93693,-655.89089,28853.93693,-597.89089,28839.43693,-626.89089
26704.48489,197.00677,26713.48489,208.00677,26708.48489,202.50677
28427.675,196.97578000000001,28436.675,207.97578000000001,28431.675,202.47578000000001
26654.50328,286.62694,26664.50328,296.62694,26659.00328,291.62694
26402.003569999997,-1060.11869,26461.003569999997,-1030.11869,26401.003569999997,-1030.11869
26737.864690000002,-976.42441,26796.864690000002,-946.42441,26736.864690000002,-946.42441
